crew,return,title,release_date,budget,revenue
Jack H. Young,0,The Reincarnation of Peter Proud,1975-04-25,0.0,0.0
Dan St. Pierre,5.5575,The Little Mermaid,1989-11-17,40000000.0,222300000.0
Antonio Margheriti,0,The Hunters of the Golden Cobra,1982-08-11,0.0,0.0
Jay Karas,0,Jim Gaffigan: Mr. Universe,2012-04-11,0.0,0.0
Bruce Cohen,2.799419904761905,The Forgotten,2004-09-24,42000000.0,117575636.0
Doris Dörrie,0,Men...,1985-12-19,0.0,0.0
Joel Coen,3.3256038695652173,Bad Santa,2003-11-26,23000000.0,76488889.0
Carl Laemmle Jr.,0,Lonesome,1928-06-20,0.0,0.0
Rachel Portman,1.1927757142857143,Smoke,1995-06-09,7000000.0,8349430.0
Tomoko Kida,0,The Last Unicorn,1982-11-19,0.0,6455530.0
Jason Stoddard,0.9763444444444445,The Afflicted,2011-10-22,180000.0,175742.0
Chuck Jones,0,Ali Baba Bunny,1957-02-09,0.0,0.0
Oliver Neumann,0,Snow White,2005-08-07,0.0,0.0
Bill Corcoran,0,Quints,2000-08-18,0.0,0.0
Crispian Mills,0,A Fantastic Fear of Everything,2012-06-07,0.0,0.0
Oren Koules,2.066711315789474,Dumb and Dumberer: When Harry Met Lloyd,2003-06-13,19000000.0,39267515.0
Christina Fon,0,Reel Injun,2009-09-10,0.0,0.0
Norman Reynolds,0.17466666666666666,Sphere,1998-02-13,75000000.0,13100000.0
Claudio Biern Boyd,0,The Gnomes' Great Adventure,1987-01-01,0.0,0.0
Kelly Makin,0,Mickey Blue Eyes,1999-08-16,0.0,0.0
Robert Richardson,0.35168936842105264,U Turn,1997-10-03,19000000.0,6682098.0
Tinto Brass,0,Yankee,1966-08-25,0.0,0.0
Frank Capra,0,Westward the Women,1951-12-31,0.0,0.0
Mel Brooks,2.8793551818181817,History of the World: Part I,1981-06-12,11000000.0,31672907.0
Amir Naderi,0,Marathon,2002-10-15,0.0,0.0
Bob Wyman,0,Police Academy 2: Their First Assignment,1985-03-28,0.0,55600000.0
Victoria Thomas,0,White Men Can't Jump,1992-03-26,0.0,90753806.0
Peter Berg,0.9519587294117647,The Rundown,2003-09-26,85000000.0,80916492.0
Robert Florey,0,God Is My Co-Pilot,1945-04-07,0.0,0.0
Stephen Hopkins,2.771044875,A Nightmare on Elm Street 5: The Dream Child,1989-08-11,8000000.0,22168359.0
Mark Achbar,0,Pax Americana and the Weaponization of Space,2009-11-12,0.0,0.0
Jim Sheridan,22.85159335379274,My Left Foot: The Story of Christy Brown,1989-07-21,645180.0,14743391.0
Henry Braham,0,Waking Ned,1998-09-15,0.0,0.0
Russell Carpenter,3.2101,The Lawnmower Man,1992-03-05,10000000.0,32101000.0
Charles Roven,0,Cadillac Man,1990-05-18,0.0,27575086.0
Stanley Kubrick,0.0,Fear and Desire,1953-04-01,53000.0,0.0
Gianfranco Amicucci,0,Erotic Games in the Third Galaxy,1981-02-12,0.0,0.0
John Sturges,0,The Magnificent Yankee,1950-12-20,0.0,0.0
Celestia Fox,0,The Witches,1990-02-16,0.0,15360553.0
Kenneth Johnson,0,V,1983-05-01,0.0,0.0
Yukihiko Tsutsumi,0,Hayabusa,2011-10-01,0.0,0.0
Darren Lynn Bousman,0.0,Mother's Day,2010-09-23,11000000.0,0.0
Volkhart Buff,0.0,Half Past Dead,2002-11-15,13000000.0,0.0
Andrew Bergman,0,The Freshman,1990-07-20,0.0,0.0
Emilio Estevez,0,Men at Work,1990-08-24,0.0,0.0
Fred Schepisi,0.0,The Russia House,1990-12-19,22997992.0,0.0
Volker Schlöndorff,0,Voyager,1991-03-21,0.0,0.0
Jonathan Hock,0,Unguarded,2011-11-01,0.0,0.0
Jack Green,0,Are We Done Yet?,2007-04-04,0.0,0.0
Hanuman Brown-Eagle	,0,Nailbiter,2013-05-28,0.0,0.0
Michael Grais,3.8370333333333333,Marked for Death,1990-10-05,12000000.0,46044400.0
Rob Reiner,0,The Magic of Belle Isle,2012-07-06,0.0,102388.0
Noboru Iguchi,0,Zombie Ass: Toilet of the Dead,2011-09-24,0.0,0.0
Madonna,7.25,Madonna: Truth or Dare,1991-05-10,4.0,29.0
Shûgorô Yamamoto,0,Inn of Evil,1971-09-11,0.0,0.0
Hidekazu Takahara,0,Tsumugi,2004-07-27,0.0,0.0
Michael Horton,0.0,The Quiet Earth,1985-09-08,1000000.0,0.0
Kim Tae-gyun,0,A Barefoot Dream,2010-06-24,0.0,0.0
Richard Wells,0.0,Evil Aliens,2006-03-10,500000.0,0.0
Lazar Wechsler,0,The Last Chance,1945-11-27,0.0,0.0
Franz Planer,10.875,The Caine Mutiny,1954-06-24,2000000.0,21750000.0
Robin Bhatt,0,Zameen,2003-09-26,0.0,0.0
John M. Dwyer,0.0,The Ice Pirates,1984-03-16,9000000.0,0.0
Peter Hollywood,0,Elfie Hopkins,2012-04-20,0.0,0.0
Alain Sarde,1.3411559333333334,Mulholland Drive,2001-05-16,15000000.0,20117339.0
Anders Thomas Jensen,0,Flickering Lights,2000-11-03,0.0,0.0
Petr Zelenka,0,Year of the Devil,2002-03-07,0.0,0.0
Paul Joyce,0,Sam Peckinpah: Man of Iron,1993-06-29,0.0,0.0
David Hand,0,The Mad Doctor,1933-01-21,0.0,0.0
PES,0,Game Over,2006-02-24,0.0,0.0
Kate Williams,0,Frozen River,2008-08-01,0.0,0.0
William Aldridge,0,Game Over,2005-08-26,0.0,0.0
Ken Kwapis,4.431486025,He's Just Not That Into You,2009-02-06,40000000.0,177259441.0
Gary Lucchesi,0.23554846666666668,The Midnight Meat Train,2008-08-07,15000000.0,3533227.0
Kurt Kuenne,0.0,Shuffle,2012-03-20,500000.0,0.0
Byron Houck,0,The Movies,1925-10-07,0.0,0.0
Anthony B. Richmond,0.5841926666666667,The Rocker,2008-08-20,15000000.0,8762890.0
Kenneth A. Carlson,0,Go Tigers!,2001-01-20,0.0,0.0
Kevin Costner,0.8380952380952381,Swing Vote,2008-08-01,21000000.0,17600000.0
Ann Brashares,1.6426821111111112,The Sisterhood of the Traveling Pants 2,2008-08-06,27000000.0,44352417.0
Avy Kaufman,0,Spinning Boris,2003-10-23,0.0,0.0
Graeme Revell,3.763883074074074,Pineapple Express,2008-08-06,27000000.0,101624843.0
,0,Boris and Natasha,1992-04-17,0.0,0.0
Thomas Newman,0,Towelhead,2008-09-12,0.0,367638.0
Céline Bozon,0,Through the Forest,2005-10-12,0.0,0.0
Wang Xiaoshuai,0,Shanghai Dreams,2005-06-03,0.0,0.0
John Powell,2.999265206060606,How to Train Your Dragon,2010-03-05,165000000.0,494878759.0
David Blair,0,Tess of the D'Urbervilles,2008-09-14,0.0,0.0
Stefan Pleszczynski,0,"Live Once, Die Twice",2006-02-20,0.0,0.0
Helena van der Meulen,0,Bluebird,2004-04-10,0.0,0.0
William Steig,4.561217375757575,Shrek Forever After,2010-05-16,165000000.0,752600867.0
Masaki Kobayashi,0,Black River,1957-10-23,0.0,0.0
Andrew Stanton,5.334848515,Toy Story 3,2010-06-16,200000000.0,1066969703.0
Paul Rubell,2.995510786666667,Thor,2011-04-21,150000000.0,449326618.0
Erik S. Weigel,0,El camino,2008-02-29,0.0,0.0
James Newton Howard,2.12335282,The Last Airbender,2010-06-30,150000000.0,318502923.0
Shunji Iwai,0,Undo,1994-10-07,0.0,0.0
Jeff Kopas,0,An Insignificant Harvey,2011-10-07,0.0,0.0
Colleen Atwood,0.6728189375,Nine,2009-12-03,80000000.0,53825515.0
John Lasseter,2.543293,The Princess and the Frog,2009-12-08,105000000.0,267045765.0
Debra Zane,0.8479524166666667,The Tale of Despereaux,2008-12-19,60000000.0,50877145.0
Zeki Demirkubuz,0,Inside,2012-04-13,0.0,0.0
Laurent Cantet,0,Foxfire,2012-09-24,0.0,0.0
Vibeke Windeløv,0,Open Hearts,2002-09-06,0.0,0.0
Heike Brandstatter,2.9136732375,The Day the Earth Stood Still,2008-12-10,80000000.0,233093859.0
Agnès Godard,0,Sister,2012-02-13,0.0,0.0
Marin Karmitz,0,Like Someone in Love,2012-09-15,0.0,0.0
Bruce Berman,3.228442542857143,Yes Man,2008-12-09,70000000.0,225990978.0
,0,Swimming Upstream,2002-01-01,0.0,0.0
Adam Shankman,2.660930525,Bedtime Stories,2008-12-24,80000000.0,212874442.0
Rasmus Breistein,0,The Bridal Party in Hardanger,1926-12-26,0.0,0.0
Budd Schulberg,0,Nuremberg: Its Lesson for Today,1948-11-21,0.0,0.0
Gordon Douglas,0,Bombers B-52,1957-11-22,0.0,0.0
Craig Baldwin,0,Mock Up on Mu,2008-01-14,0.0,0.0
Avy Kaufman,0.6561717727272727,Around the World in 80 Days,2004-06-16,110000000.0,72178895.0
James Cameron,0,Titanic: The Final Word with James Cameron,2012-04-08,0.0,0.0
