title,cast,return
Tess of the D'Urbervilles,Gemma Arterton,0
"Live Once, Die Twice",Kellie Martin,0
Bluebird,Elske Rotteveel,0
Shrek Forever After,Mike Myers,4.561217375757575
Black River,Fumio Watanabe,0
Toy Story 3,Tom Hanks,5.334848515
Thor,Chris Hemsworth,2.995510786666667
El camino,Leo Fitzpatrick,0
The Last Airbender,Noah Ringer,2.12335282
Undo,Etsushi Toyokawa,0
An Insignificant Harvey,Jordan Prentice,0
Nine,Judi Dench,0.6728189375
The Princess and the Frog,Anika Noni Rose,2.543293
The Tale of Despereaux,Matthew Broderick,0.8479524166666667
Inside,Engin Gunaydin,0
Foxfire,Raven Adamson,0
Open Hearts,Sonja Richter,0
The Day the Earth Stood Still,Keanu Reeves,2.9136732375
Sister,Kacey Mottet Klein,0
Like Someone in Love,Rin Takanashi,0
Yes Man,Jim Carrey,3.228442542857143
Swimming Upstream,Matt Czuchry,0
Bedtime Stories,Adam Sandler,2.660930525
The Bridal Party in Hardanger,,0
Nuremberg: Its Lesson for Today,Francis Biddle,0
Bombers B-52,Natalie Wood,0
Mock Up on Mu,,0
Around the World in 80 Days,Jackie Chan,0.6561717727272727
Titanic: The Final Word with James Cameron,James Cameron,0
Cut,Molly Ringwald,0
Unicorn City,Devin McGinn,0
Them Idiots: Whirled Tour,Bill Engvall,0
Divorce American Style,Dick Van Dyke,0
Collision Course,Jay Leno,0
Buffy the Vampire Slayer,Kristy Swanson,2.3749222857142858
Message in a Bottle,Kevin Costner,1.4860002
The Deep Six,Alan Ladd,0
Muppets from Space,Steve Whitmire,0.6787906666666667
The Key,William Holden,0
Hideous Kinky,Kate Winslet,0.0
Take the High Ground!,Richard Widmark,0
A Midsummer Night's Dream,Rupert Everett,0.0
Ravenous,Guy Pearce,0.0
From Dusk Till Dawn 3: The Hangman's Daughter,Marco Leonardi,0.0
Son of the Mask,Jamie Kennedy,0.0
Mister 880,Burt Lancaster,0
Sliding Doors,Gwyneth Paltrow,9.666666666666666
Hitler,Richard Basehart,0
Species II,Michael Madsen,0.5475874285714286
Operation: Rabbit,Mel Blanc,0
The Mountain Road,James Stewart,0
The Sweet Hereafter,Ian Holm,0.652717
Swingers,Jon Favreau,22.52961
Snow Falling on Cedars,Ethan Hawke,0
Way Way Out,Jerry Lewis,0
The Spy,Danila Kozlovsky,0.764696
The Dive from Clausen's Pier,Michelle Trachtenberg,0
Rounders,Matt Damon,1.9101581666666667
HOUBA! On the Trail of the Marsupilami,Alain Chabat,0.972
Kickboxer,Jean-Claude Van Damme,9.798003333333334
The Philly Kid,Devon Sawa,0.0
"Welcome Back, Mr. McDonald",Toshiaki Karasawa,0
A Simple Plan,Bill Paxton,0
Vares - The Path Of The Righteous Men,Antti Reini,0
Something to Sing About,Irma P. Hall,0
Friday the 13th Part VI: Jason Lives,Thom Mathews,6.490685666666667
Marianne,Thomas Hedengran,0
High Tension,Cécile de France,0
PlayTime,Jacques Tati,0
The Sudden Wealth of the Poor People of Kombach,Georg Lehn,0
Pokémon: The First Movie: Mewtwo Strikes Back,Rica Matsumoto,5.454822066666667
Fate Is the Hunter,Glenn Ford,0
Johnny Reno,Dana Andrews,0
Montana Belle,Jane Russell,0
A Walk to Remember,Mandy Moore,3.7479153636363636
A Bottle in the Gaza Sea,Hiam Abbass,0
Underwater!,Jane Russell,0.0
Adam's Apples,Mads Mikkelsen,0.0
Whatever,Liza Weil,0
August Evening,,0
Shadow of Angels,Ingrid Caven,0
Vasermil,Avinoam Blumenkrantz,0
Summer in the Golden Valley,Zana Marjanović,0
Funny Games,Ulrich Mühe,0
Alexander Nevsky,Nikolai Cherkasov,0
The Way We Were,Barbra Streisand,0
Dead Man Down,Colin Farrell,0
Bedouin,Dorji Galsanov,0
Iberia,Sara Baras,0
The Honeymoon Killers,Shirley Stoler,0
Cries and Whispers,Harriet Andersson,0
The Amazing Spider-Man 2,Andrew Garfield,3.52858716
Two Arabian Knights,William Boyd,0
Autumn Tale,Marie Rivière,0
Heavenly Creatures,Melanie Lynskey,0.609827
Ill Gotten Gains,,0
A Tale of Winter,Charlotte Véry,0
Fillmore,,0
Hotel Reserve,James Mason,0
What Ever Happened to Baby Jane?,Bette Davis,0.0
A Cadaver Christmas,Daniel Rairdin-Hale,0
Salomé,Aída Gómez,0
The Flight of the Phoenix,James Stewart,0
A Child's Christmas in Wales,Denholm Elliott,0
Gods of the Plague,Harry Baer,0
Welcome to Blood City,Jack Palance,0
Porky's,Dan Monahan,31.4320645
A Single Girl,Virginie Ledoyen,0
He Was a Quiet Man,Christian Slater,0
The Ring Thing,Gwendolyn Rich,0
The Desperados,Jack Palance,0
Alice and Martin,Juliette Binoche,0
The Rocketeer,Billy Campbell,1.4761904761904763
5ive Girls,Ron Perlman,0.0
Sebastian Maniscalco: What's Wrong with People?,Sebastian Maniscalco,0
The Machine That Kills Bad People,Marilyn Buferd,0
White Cargo,Hedy Lamarr,0
44500 Max,,0
Dragon Wars: D-War,Jason Behr,0.7655343428571428
Stormy Weather,Élodie Bouchez,0
The Good Son,,0.0
Born to Fight,Santisuk Promsiri,0
The Patent Leather Kid,Richard Barthelmess,0
The Twins Effect II,Donnie Yen,0
The Madagascar Penguins in a Christmas Caper,Tom McGrath,0
Follow Me: The Yoni Netanyahu Story,,0
Big Leaguer,Edward G. Robinson,0
My New Partner,Philippe Noiret,0
